Geometry,Lon,Lat,R_EOS10_SOS15,EOS10_SOS15_Tem_C,P_EOS10_SOS15,EOS10_SOS15_Tem_P,R_EOS10_SOS50,EOS10_SOS50_Tem_C,P_EOS10_SOS50,EOS10_SOS50_Tem_P,R_EOS50_SOS15,EOS50_SOS15_Tem_C,P_EOS50_SOS15,EOS50_SOS15_Tem_P,R_EOS50_SOS50,EOS50_SOS50_Tem_C,P_EOS50_SOS50,EOS50_SOS50_Tem_P,R_SOS15_EOS10,SOS15_EOS10_Tem_C,P_SOS15_EOS10,SOS15_EOS10_Tem_P,R_SOS15_EOS50,SOS15_EOS50_Tem_C,P_SOS15_EOS50,SOS15_EOS50_Tem_P,R_SOS50_EOS10,SOS50_EOS10_Tem_C,P_SOS50_EOS10,SOS50_EOS10_Tem_P,R_SOS50_EOS50,SOS50_EOS50_Tem_C,P_SOS50_EOS50,SOS50_EOS50_Tem_P,Clim_cover_type2
POINT(-126.375 53.875),-126.375,53.875,0.164082618,-3.67489749,0.22080931,0.043208247,0.378177411,-3.147836861,0.021308792,0.041332291,0.398658206,-1.950603805,0.043058006,0.366711292,0.546176679,-2.314031216,0.022282513,0.380896823,0.849653115,-1.107159879,0.042594065,0.648428725,0.851178919,0.795429106,0.177719891,0.656831488,0.315478742,-2.97964288,0.195912697,0.008138562,0.298837913,-3.008184319,0.42680084,0.012161429,Temperate grassland
POINT(58.625 53.875),58.625,53.875,0.218547582,-3.102476363,0.33924147,0.020124711,0.397247563,-2.652424605,0.127334199,0.038890146,0.450545184,1.026124335,0.018469203,0.122838747,0.653491648,1.405292925,0.003048449,0.186302141,-0.238807587,-1.441381429,0.259614543,0.054976753,-0.192274551,-1.873658028,0.451682833,0.054999086,-0.254171322,-2.723217199,0.035123836,1.68E-05,-0.057819207,-2.169681151,0.75689788,0.001134325,Temperate mixed forest
POINT(-102.125 53.875),-102.125,53.875,0.471382312,-2.298838997,0.00413411,0.005053468,0.675968315,-1.143135729,0.003438316,0.178066083,0.025085045,-0.344860575,0.92879879,0.81249056,0.40593774,1.206538479,0.122955961,0.141324967,-0.218379923,-1.30015817,0.324983955,0.006406459,-0.399128758,-1.348361981,0.05749311,0.002327706,-0.078166694,-2.490791151,0.45813333,2.92E-06,0.048103873,-2.523895704,0.650605214,2.83E-06,Boreal forest
POINT(-101.125 53.875),-101.125,53.875,-0.099922824,-3.313630199,0.753339547,0.059577759,0.485005639,1.083142455,0.023234249,0.056305362,0.231831082,1.829472451,0.223653447,0.006482548,0.39551711,2.269810733,0.004315417,0.000276648,0.27150684,-1.368847681,0.154542398,0.012634831,0.284254892,-1.501800466,0.225039596,0.00619473,-0.021289331,-2.802548346,0.930167961,0.004893853,0.033042247,-2.791057641,0.91321464,0.004453665,Boreal forest
POINT(-99.125 53.875),-99.125,53.875,0.058642276,-2.271102234,0.491407918,0.093828908,0.38511635,-0.191477192,0.00485039,0.758884619,0.146165055,0.757950141,0.23307136,0.293185004,0.410075906,0.837152708,0.041990862,0.195458999,0.127689989,0.07581606,0.870099084,0.959280259,0.316767496,0.087062949,0.656554912,0.952850108,-0.057553674,-2.707916053,0.854093933,0.004220631,0.075979418,-2.703321087,0.791050424,0.004234389,Boreal forest
POINT(-103.875 53.875),-103.875,53.875,0.011251883,-2.518941373,0.935372234,0.032735639,0.611316058,1.141079881,0.007957055,0.098829982,-0.114678454,1.926726948,0.454228314,0.022520317,0.503510035,2.728772027,0.034722523,0.034364117,-0.490446389,-1.389548849,0.235728615,0.114646942,-0.403700399,-1.445346295,0.322385831,0.105042116,-0.255237965,-2.171432268,0.201409201,0.000261189,-0.243332472,-2.338400092,0.219974902,0.000689456,Boreal forest
POINT(-101.875 53.875),-101.875,53.875,0.11799066,-3.704373263,0.543055322,0.003525954,0.146938843,-3.632446957,0.54456598,0.006951883,0.194003734,2.114261208,0.453429971,0.155789157,0.507471673,2.337120855,0.05647128,0.069076843,-0.157034592,-1.224008728,0.464958514,0.004204022,-0.350413298,-1.239672096,0.08319543,0.001687883,-0.027035957,-1.992859734,0.862041758,0.000341478,0.164401973,-2.094380174,0.282688015,0.000150545,Boreal forest
POINT(-102.875 53.875),-102.875,53.875,0.423678481,-1.632099987,0.244577987,0.477046871,0.669035829,0.888651607,7.09E-05,0.478157774,0.337408634,0.966994262,0.063359755,0.027795204,0.423103726,1.440679133,9.64E-06,0.001324699,0.146444886,-1.576949582,0.354146662,0.003431454,0.164595462,-1.484936425,0.456626399,0.0036885,0.225377098,-3.691722254,0.3368146,0.002273768,0.148624108,-3.540174532,0.664779226,0.003413519,Boreal forest
POINT(-103.375 53.875),-103.375,53.875,0.106443489,-3.165794314,0.29700445,0.002227586,0.088891086,-2.716257733,0.585156697,0.062877037,-0.044325155,1.191424764,0.602149413,0.032130227,0.168210769,1.016780362,0.03830911,0.034125208,-0.120401874,-1.880439938,0.779323724,0.062151538,0.662101383,-2.082150405,0.340740345,0.04083018,-0.104696591,-4.19973108,0.710401101,0.000111646,-0.015808664,-4.274476799,0.971275293,7.33E-05,Boreal forest
POINT(-107.375 53.875),-107.375,53.875,0.40387181,-1.268784136,0.054493734,0.359015952,0.257957192,-2.467508657,0.18987022,0.047633858,0.494335066,1.856926363,0.008528302,0.201479952,0.476454918,0.477265458,0.097569985,0.800634332,0.090362502,-1.794147355,0.803427518,0.010262223,-0.202443648,-1.677612961,0.496258031,0.012890331,0.064335751,-2.64405134,0.722641583,2.33E-06,0.094522662,-2.715872455,0.551360139,2.75E-06,Boreal forest
